country_code,country,city_name,population_2006,population_2011,population_2018,tot_area,density_2006,density_2018,lived_area_2006,lived_area_2011,lived_area_2018,lived_density_2006,lived_density_2011,lived_density_2018,lived_2006,lived_2011,lived_2018,min_density_2006,max_density_2006,min_density_2018,max_density_2018,gini_2006,gini_2018,shannon_2006,shannon_2018,moran_2018,bribiesca_2018,V27,V28,V29
PL,Poland,Poznan,910586,939497,975515,2809,324.17,347.28,1909,1916,1954,477,490.34,499.24,68,68.2,69.6,0,15244,0,13682,0.892,0.872,0.734,0.76,0.19,0.774,4791,3277,30
PL,Poland,Lodz,1155701,1132832,1098305,2809,411.43,391,2473,2473,2471,467.33,458.08,444.48,88,88,88,0,20553,0,18546,0.883,0.875,0.728,0.742,0.175,0.906,4972,3227,30
PL,Poland,Lublin,654603,657590,654363,2809,233.04,232.95,2386,2386,2380,274.35,275.6,274.94,84.9,84.9,84.7,0,13840,0,12272,0.835,0.834,0.741,0.756,0.187,0.897,5193,3202,30
PL,Poland,Wroclav,924804,946030,984267,2809,329.23,350.4,1688,1707,1774,547.87,554.21,554.83,60.1,60.8,63.2,0,20859,0,21205,0.901,0.885,0.717,0.739,0.19,0.727,4813,3135,30
FR,France,Nantes,817283,848741,923746,2809,290.95,328.85,2601,2597,2598,314.22,326.82,355.56,92.6,92.5,92.5,0,14241,0,12906,0.814,0.809,0.799,0.805,0.119,0.959,3449,2747,30
IT,Italy,Venice-Padua-Treviso,1688549,1743776,1780952,2809,601.12,634.02,2283,2629,2622,739.62,663.28,679.23,81.3,93.6,93.3,0,15438,0,12197,0.736,0.645,0.865,0.9,0.237,0.979,4479,2498,30
ES,Spain,Zaragoza,723427,776253,772591,2809,257.54,275.04,444,306,344,1629.34,2536.77,2245.9,15.8,10.9,12.2,0,43876,0,42833,0.982,0.982,0.515,0.528,0.144,0.562,3415,2127,30
DE,Germany,Chemnitz,833175,786570,766866,2809,296.61,273,2133,2149,2148,390.61,366.02,357.01,75.9,76.5,76.5,0,6066,0,10064,0.781,0.793,0.842,0.828,0.241,0.813,4527,3084,30
CH,Switzerland,Bern,924872,961769,1028000,2809,329.25,365.97,2404,2523,2519,384.72,381.2,408.1,85.6,89.8,89.7,0,8432,0,10861,0.775,0.789,0.839,0.831,0.239,0.942,4127,2652,30
PL,Poland,Warsaw,2486647,2553363,2678997,2809,885.24,953.72,2390,2402,2434,1040.44,1063.02,1100.66,85.1,85.5,86.7,0,21761,0,21372,0.835,0.819,0.8,0.812,0.19,0.915,5070,3293,30
HU,Hungary,Budapest,2433276,2533329,2599452,2809,866.24,925.4,1745,1610,1675,1394.43,1573.5,1551.91,62.1,57.3,59.6,0,27844,0,32186,0.827,0.822,0.813,0.814,0.163,0.803,5000,2751,30
DE,Germany,Hamburg,2570919,2539025,2708264,2809,915.24,964.14,2140,2273,2295,1201.36,1117.04,1180.07,76.2,80.9,81.7,0,9589,0,21384,0.777,0.789,0.85,0.84,0.159,0.878,4321,3383,30
DE,Germany,Berlin,4122032,4057172,4442380,2809,1467.44,1581.48,2127,2038,2063,1937.96,1990.76,2153.36,75.7,72.6,73.4,0,12416,0,26155,0.752,0.793,0.862,0.839,0.137,0.85,4551,3273,30
FR,France,Grenoble,638518,653782,670014,2809,227.31,238.52,1586,1599,1596,402.6,408.87,419.81,56.5,56.9,56.8,0,19303,0,17071,0.897,0.896,0.727,0.728,0.138,0.803,3985,2461,30
AT,Austria,Vienna,2128251,2208280,2424033,2809,757.65,862.95,1662,1668,1720,1280.54,1323.91,1409.32,59.2,59.4,61.2,0,27585,0,31813,0.892,0.892,0.747,0.748,0.116,0.771,4794,2809,30
UK,UK,Manchester,3162320,3306314,3424004,2809,1125.78,1218.94,2238,2249,2266,1413.01,1470.13,1511.03,79.7,80.1,80.7,0,10573,0,13313,0.716,0.721,0.877,0.875,0.172,0.927,3511,3442,30
CH,Switzerland,Zurich,1753632,1916511,2103241,2809,624.29,748.75,2521,2523,2525,695.61,759.62,832.97,89.7,89.8,89.9,0,11640,0,14962,0.725,0.758,0.873,0.858,0.243,0.92,4210,2696,30
