"","city","population","x","y","radius","area","trasport_type","patients","id","cost","time"
"1","aalborg","298232","4317","3772","30.251","2809","bicycle","10","1",33252,"0.06"
"2","aalborg","298232","4317","3772","30.251","2809","bicycle","10","2",45650,"0.015"
"3","aalborg","298232","4317","3772","30.251","2809","bicycle","10","3",30996,"0.009"
"4","aalborg","298232","4317","3772","30.251","2809","bicycle","10","4",31210,"0.008"
"5","aalborg","298232","4317","3772","30.251","2809","bicycle","10","5",39384,"0.009"
"6","aalborg","298232","4317","3772","30.251","2809","bicycle","10","6",34661,"0.009"
"7","aalborg","298232","4317","3772","30.251","2809","bicycle","10","7",22217,"0.01"
"8","aalborg","298232","4317","3772","30.251","2809","bicycle","10","8",35346,"0.011"
"9","aalborg","298232","4317","3772","30.251","2809","bicycle","10","9",34090,"0.013"
"10","aalborg","298232","4317","3772","30.251","2809","bicycle","10","10",43703,"0.024"
"11","aarhus","531476","4329","3673","31.873","2809","bicycle","10","1",15596,"0.008"
"12","aarhus","531476","4329","3673","31.873","2809","bicycle","10","2",39122,"0.008"
"13","aarhus","531476","4329","3673","31.873","2809","bicycle","10","3",37168,"0.007"
"14","aarhus","531476","4329","3673","31.873","2809","bicycle","10","4",39265,"0.007"
"15","aarhus","531476","4329","3673","31.873","2809","bicycle","10","5",30782,"0.008"
"16","aarhus","531476","4329","3673","31.873","2809","bicycle","10","6",38712,"0.008"
"17","aarhus","531476","4329","3673","31.873","2809","bicycle","10","7",40621,"0.008"
"18","aarhus","531476","4329","3673","31.873","2809","bicycle","10","8",28108,"0.007"
"19","aarhus","531476","4329","3673","31.873","2809","bicycle","10","9",38859,"0.009"
"20","aarhus","531476","4329","3673","31.873","2809","bicycle","10","10",46890,"0.008"
"21","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","1",41793,"0.008"
"22","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","2",42789,"0.007"
"23","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","3",42316,"0.008"
"24","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","4",35944,"0.01"
"25","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","5",30483,"0.008"
"26","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","6",13969,"0.008"
"27","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","7",18477,"0.01"
"28","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","8",15047,"0.01"
"29","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","9",35767,"0.014"
"30","aberdeen","380841","3587","3844","37.5","2809","bicycle","10","10",23743,"0.009"
"31","albacete","199564","3292","1848","30","2809","bicycle","10","1",21060,"0.01"
"32","albacete","199564","3292","1848","30","2809","bicycle","10","2",2986,"0.008"
"33","albacete","199564","3292","1848","30","2809","bicycle","10","3",18143,"0.014"
"34","albacete","199564","3292","1848","30","2809","bicycle","10","4",12066,"0.008"
"35","albacete","199564","3292","1848","30","2809","bicycle","10","5",13786,"0.01"
"36","albacete","199564","3292","1848","30","2809","bicycle","10","6",5594,"0.01"
"37","albacete","199564","3292","1848","30","2809","bicycle","10","7",2932,"0.017"
"38","albacete","199564","3292","1848","30","2809","bicycle","10","8",27189,"0.007"
"39","albacete","199564","3292","1848","30","2809","bicycle","10","9",27211,"0.008"
"40","albacete","199564","3292","1848","30","2809","bicycle","10","10",35778,"0.007"
"41","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","1",38293,"0.007"
"42","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","2",32165,"0.007"
"43","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","3",24911,"0.008"
"44","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","4",41205,"0.007"
"45","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","5",36814,"0.008"
"46","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","6",53040,"0.008"
"47","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","7",23095,"0.01"
"48","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","8",26159,"0.008"
"49","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","9",35767,"0.008"
"50","alicante-elche","1138319","3387","1758","33.592","2809","bicycle","10","10",47045,"0.007"
"51","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","1",49738,"0.008"
"52","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","2",43668,"0.009"
"53","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","3",32298,"0.01"
"54","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","4",45572,"0.009"
"55","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","5",43214,"0.01"
"56","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","6",40282,"0.008"
"57","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","7",27062,"0.008"
"58","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","8",50104,"0.008"
"59","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","9",40335,"0.007"
"60","amsterdam","2739883","3974","3264","30.116","2809","bicycle","10","10",47007,"0.008"
"61","athens","3719119","5534","1772","32.665","2809","bicycle","10","1",36052,"0.009"
"62","athens","3719119","5534","1772","32.665","2809","bicycle","10","2",18774,"0.008"
"63","athens","3719119","5534","1772","32.665","2809","bicycle","10","3",21312,"0.009"
"64","athens","3719119","5534","1772","32.665","2809","bicycle","10","4",32499,"0.008"
"65","athens","3719119","5534","1772","32.665","2809","bicycle","10","5",28292,"0.012"
"66","athens","3719119","5534","1772","32.665","2809","bicycle","10","6",16416,"0.007"
"67","athens","3719119","5534","1772","32.665","2809","bicycle","10","7",18271,"0.006"
"68","athens","3719119","5534","1772","32.665","2809","bicycle","10","8",35996,"0.008"
"69","athens","3719119","5534","1772","32.665","2809","bicycle","10","9",18603,"0.007"
"70","athens","3719119","5534","1772","32.665","2809","bicycle","10","10",16316,"0.008"
"71","avignone","654892","3904","2330","30","2809","bicycle","10","1",45004,"0.007"
"72","avignone","654892","3904","2330","30","2809","bicycle","10","2",38363,"0.009"
"73","avignone","654892","3904","2330","30","2809","bicycle","10","3",39582,"0.008"
"74","avignone","654892","3904","2330","30","2809","bicycle","10","4",44070,"0.008"
"75","avignone","654892","3904","2330","30","2809","bicycle","10","5",36324,"0.007"
"76","avignone","654892","3904","2330","30","2809","bicycle","10","6",37782,"0.008"
"77","avignone","654892","3904","2330","30","2809","bicycle","10","7",45573,"0.007"
