"","city","population","x","y","radius","area","trasport_type","patients","id","cost","time"
"1","aalborg","298232","4317","3772","30.251","2809","car","50","1","25264","0.211"
"2","aalborg","298232","4317","3772","30.251","2809","car","50","2","27218","0.058"
"3","aalborg","298232","4317","3772","30.251","2809","car","50","3","23487","0.051"
"4","aalborg","298232","4317","3772","30.251","2809","car","50","4","27809","0.068"
"5","aalborg","298232","4317","3772","30.251","2809","car","50","5","24244","0.252"
"6","aalborg","298232","4317","3772","30.251","2809","car","50","6","30338","0.224"
"7","aalborg","298232","4317","3772","30.251","2809","car","50","7","26081","0.073"
"8","aalborg","298232","4317","3772","30.251","2809","car","50","8","25102","0.185"
"9","aalborg","298232","4317","3772","30.251","2809","car","50","9","24479","0.062"
"10","aalborg","298232","4317","3772","30.251","2809","car","50","10","26496","0.073"
"11","aarhus","531476","4329","3673","31.873","2809","car","50","1","28411","0.24"
"12","aarhus","531476","4329","3673","31.873","2809","car","50","2","24942","0.047"
"13","aarhus","531476","4329","3673","31.873","2809","car","50","3","24262","2.224"
"14","aarhus","531476","4329","3673","31.873","2809","car","50","4","23423","0.047"
"15","aarhus","531476","4329","3673","31.873","2809","car","50","5","25015","1.076"
"16","aarhus","531476","4329","3673","31.873","2809","car","50","6","24716","0.155"
"17","aarhus","531476","4329","3673","31.873","2809","car","50","7","25191","0.215"
"18","aarhus","531476","4329","3673","31.873","2809","car","50","8","21925","1.284"
"19","aarhus","531476","4329","3673","31.873","2809","car","50","9","21567","0.079"
"20","aarhus","531476","4329","3673","31.873","2809","car","50","10","24961","1.112"
"21","aberdeen","380841","3587","3844","37.5","2809","car","50","1","20093","0.159"
"22","aberdeen","380841","3587","3844","37.5","2809","car","50","2","21618","0.093"
"23","aberdeen","380841","3587","3844","37.5","2809","car","50","3","25488","0.044"
"24","aberdeen","380841","3587","3844","37.5","2809","car","50","4","22111","0.342"
"25","aberdeen","380841","3587","3844","37.5","2809","car","50","5","22989","0.818"
"26","aberdeen","380841","3587","3844","37.5","2809","car","50","6","21661","0.213"
"27","aberdeen","380841","3587","3844","37.5","2809","car","50","7","24624","0.073"
"28","aberdeen","380841","3587","3844","37.5","2809","car","50","8","20593","0.071"
"29","aberdeen","380841","3587","3844","37.5","2809","car","50","9","20619","0.134"
"30","aberdeen","380841","3587","3844","37.5","2809","car","50","10","21657","0.951"
"31","albacete","199564","3292","1848","30","2809","car","50","1","15366","0.092"
"32","albacete","199564","3292","1848","30","2809","car","50","2","15512","2.824"
"33","albacete","199564","3292","1848","30","2809","car","50","3","14048","0.383"
"34","albacete","199564","3292","1848","30","2809","car","50","4","17246","1.138"
"35","albacete","199564","3292","1848","30","2809","car","50","5","15374","1.329"
"36","albacete","199564","3292","1848","30","2809","car","50","6","14829","0.074"
"37","albacete","199564","3292","1848","30","2809","car","50","7","17082","1.629"
"38","albacete","199564","3292","1848","30","2809","car","50","8","15285","0.264"
"39","albacete","199564","3292","1848","30","2809","car","50","9","13149","5.851"
"40","albacete","199564","3292","1848","30","2809","car","50","10","17742","1.346"
"41","alicante-elche","1138319","3387","1758","33.592","2809","car","50","1","21664","0.342"
"42","alicante-elche","1138319","3387","1758","33.592","2809","car","50","2","22574","0.232"
